id_client,score_credit,categorie_risque,taux_rejet,id_segment,nom_segment,id_compte,solde,id_transactions,id_produit,id_agence,id_temps,montant,devise,montant_eur,type_operation,statut,nom_agence,nom_produit,categorie,date_transaction,annee,mois,trimestre,jour_semaine
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000559,1,1,1,2050.42,EUR,2050.42,Credit,Complete,Marseille-Vieux-Port,Compte Epargne,Depot especes,2022-04-19,2022,4,2,1
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000723,7,1,344,2226.84,EUR,2226.84,Credit,Complete,Marseille-Vieux-Port,Livret A,Remboursement credit,2022-09-12,2022,9,3,0
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN001986,5,1,403,774.55,EUR,774.55,Credit,Complete,Marseille-Vieux-Port,Credit Immobilier,Interets,2022-06-22,2022,6,2,2
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000155,19,1,414,-1395.23,USD,-1291.88,Debit,Complete,Marseille-Vieux-Port,Credit Auto,Retrait DAB,2022-01-19,2022,1,1,2
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000424,19,1,490,-394.32,USD,-365.11,Debit,Complete,Marseille-Vieux-Port,Credit Auto,Retrait DAB,2024-01-06,2024,1,1,5
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN001003,8,1,613,2234.51,USD,2068.99,Credit,Complete,Marseille-Vieux-Port,Compte Courant,Paiement CB,2023-06-01,2023,6,2,3
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000047,24,1,431,7875.42,USD,7292.06,Credit,Complete,Marseille-Vieux-Port,Assurance Vie,Virement international,2022-01-06,2022,1,1,3
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000980,8,1,89,-264.18,EUR,-264.18,Debit,Rejete,Marseille-Vieux-Port,Compte Courant,Paiement CB,2023-02-28,2023,2,1,1
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN000199,2,1,213,-1456.58,USD,-1348.69,Debit,Complete,Marseille-Vieux-Port,Credit Consommation,Retrait DAB,2022-07-14,2022,7,3,3
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN001555,8,1,166,-84.03,MAD,-7.74,Debit,Complete,Marseille-Vieux-Port,Compte Courant,Paiement CB,2024-02-05,2024,2,1,0
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN001243,1,1,316,1002.7,MAD,92.41,Credit,Complete,Marseille-Vieux-Port,Compte Epargne,Depot especes,2022-10-09,2022,10,4,6
CLI0060,645,Medium,0.056,1,Premium,1,16415.1,TXN001401,2,1,872,1840.36,EUR,1840.36,Credit,Complete,Marseille-Vieux-Port,Credit Consommation,Retrait DAB,2022-04-14,2022,4,2,3
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN001154,2,2,2,-123.66,GBP,-143.79,Debit,Rejete,Bordeaux-Meriadeck,Credit Consommation,Retrait DAB,2024-06-20,2024,6,2,3
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN001403,3,6,8,-2176.71,EUR,-2176.71,Debit,Complete,Nice-Massena,PEA,Prelevement,2023-10-06,2023,10,4,4
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN000757,8,6,95,480.32,USD,444.74,Credit,Complete,Nice-Massena,Compte Courant,Paiement CB,2022-10-29,2022,10,4,5
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN001705,8,6,8,-879.44,EUR,-879.44,Debit,Complete,Nice-Massena,Compte Courant,Paiement CB,2023-10-06,2023,10,4,4
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN000720,2,6,538,-1138.49,USD,-1054.16,Debit,Complete,Nice-Massena,Credit Consommation,Retrait DAB,2023-07-25,2023,7,3,1
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN000989,7,6,637,1009.92,MAD,93.08,Credit,Complete,Nice-Massena,Livret A,Remboursement credit,2023-08-12,2023,8,3,5
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN000872,24,6,667,-407.41,EUR,-407.41,Debit,Complete,Nice-Massena,Assurance Vie,Virement international,2023-05-18,2023,5,2,3
CLI0057,435,High,0.046,2,Risque,2,42890.81,TXN000426,19,6,671,-478.26,USD,-442.83,Debit,Complete,Nice-Massena,Credit Auto,Retrait DAB,2022-05-16,2022,5,2,0
